,SENTENCE,Assessment,Time
3-B,"However, few obesity interventions show clinically or statistically significant weight loss beyond the intervention period (100), which suggests that new and more comprehensive interventions are needed.",Useful,28.5176837444305
13-A,Future studies are warranted for replication and should evaluate if this is a causal relationship.,Useful,20.7517280578613
5-B,"More detailed studies of inflammatory markers and MMN supplementation are required in order to understand their roles in the aetiology of anaemia in this population of women, particularly in areas of high malarial endemicity.",Not useful,70.2228584289551
0-B,We plan to explore these issues in future experiments.,Useful,7.5508348941803
21-C,"Although a recent pilot randomized trial [39] found no significant impact of a low glycemic index diet on the offspring weight of overweight/obese mothers, future, larger randomized trials and research with more frequent assessments of diet in pregnancy are needed to untangle the relationship between weight status, time in pregnancy of nutrient exposures, and offspring weight outcomes.",Not useful,42.3357725143433
26-B,Larger studies are needed in diverse populations at various latitudes to further characterize the relationship between vitamin D supplementation and bone mineral content.,Not useful,19.6389768123627
11-C,"Though consistent with studies of men and non-pregnant women, larger studies that include objective measures of sleep duration, quality and apnea are needed to obtain more precise estimates of observed associations.",Not useful,13.204354763031
17-A,"Although these doses are largely considered safe and potentially beneficial for other outcomes [8,19], confirmation of safety and efficacy in a large randomized trial is needed before making general recommendations.",Useful,19.3146169185638
16-B,"Our implications for future research and MS prevention and according to the basis of the results of the only longitudinal study of serum 25-hydroxyvitamin D and MS onset [18], and assuming that these results are unbiased and vitamin D is truly protective against MS, over 70% of MS cases in the USA and Europe could be prevented by increasing the serum 25-hydroxyvitamin D concentration of adolescents and young adults to above 100 nmol/L [41,42].",Useful,29.4164204597473
14-A,"Many questions remain and future research will benefit from focused studies aimed at specific exposures and subpopulations, allowing for more detailed analyses by histologic subtypes.",Useful,13.659999370575
29-C,"As in our studies, these inconsistent findings point to the existence of complicated pathways for the function of vitamin D in disease processes, or simply that the correct effective dose of vitamin D supplementation needs to be better defined.",Not useful,76.6557807922363
7-B,"In order to achieve Millennium Development Goals, new strategies to address nutritional problems in women of reproductive age are required.",Useful,13.8327226638794
22-C,"Future research with more frequent assessments of offspring weight and, potentially, analysis of growth velocities [51] might better inform how and when nutrient exposures in pregnancy impact growth.",Not useful,19.7819240093231
27-B,"However, it will be increasingly important to examine, in larger studies, how additional specific exposures, such as lead as has been done by previous researchers (Pilsner et al. 2009), during intrauterine development affect these epigenetic markers in a more quantitative way.",Not useful,133.15090751648
8-C,"Future studies should compare placebo, iron-folate and UNIMMAP supplementation in order to assess the efficacy and effectiveness of pre- or inter-pregnancy supplementation on later maternal anaemia and pregnancy outcome, as well as the impact on broader micronutrient status and other functional outcomes in this vulnerable group.",Not useful,40.0043573379517
20-A,This information is critical for the design of future intervention trials targeting obesity prevention in children.,Useful,292.087302923203
4-C,"Further research should investigate variables in family relationships, the home, and the extended environment that influence eating.",Useful,10.2642390727997
2-B,"Transplacental transfer occurs [67,81], and until studies demonstrating safety are performed, they should be avoided in pregnancy.",Not useful,8.13921523094177
28-A,"A systematic review of the role of vitamin D supplementation in infectious diseases had mixed findings, concluding that more rigorously designed clinical trials are needed (panel) [25].",Not useful,29.2573418617249
6-B,"However an analysis of the effects of supplementation on broader micronutrient status in this population would have been of interest and is a specified outcome in the main trial, which will be reported elsewhere.",Not useful,69.9500019550324
10-A,Future studies will elucidate the long term effects of maternal nutrition on offspring reproductive capability and to determine the molecular mechanisms underlying early pubertal onset.,Not useful,17.6825039386749
1-C,"Furthermore, the high frequency of gastrointestinal side effects experienced by people with type 2 diabetes suggests that any future role of acarbose, even if subsequent studies confirm safety, will be limited.",Not useful,12.7537453174591
9-B,"We speculate that our findings may imply adaptive responses to early life cues predicted by a life-history approach, although confirmation of these predictions requires further studies to assess reproductive fitness.",Useful,34.6783537864685
18-C,"Whereas future observational epidemiological studies and genetic and molecular investigations will be useful to strengthen and refine the hypothesis, it might be necessary to do a large randomized trial to establish the safety and efficacy needed to promote large-scale vitamin D supplementation.",Useful,36.2169606685638
24-C,"We note that our study was of limited size however, and that larger studies are needed in diverse global populations.",Useful,31.7159743309021
23-B,"Identifying modifiable, prenatal causes of childhood obesity will inform future interventions targeting pregnancy as a ""teachable moment"" for primary and secondary obesity prevention.",Useful,26.4239659309387
14-B,"Many questions remain and future research will benefit from focused studies aimed at specific exposures and subpopulations, allowing for more detailed analyses by histologic subtypes.",Useful,15.3168466091156
12-B,"Though consistent with studies of men and non-pregnant women, larger prospective studies that include objective measures of sleep duration, sleep quality, and sleep apnea during pregnancy are needed to confirm our findings.",Not useful,13.4531183242798
29-B,"As in our studies, these inconsistent findings point to the existence of complicated pathways for the function of vitamin D in disease processes, or simply that the correct effective dose of vitamin D supplementation needs to be better defined.",Useful,26.0372710227966
27-C,"However, it will be increasingly important to examine, in larger studies, how additional specific exposures, such as lead as has been done by previous researchers (Pilsner et al. 2009), during intrauterine development affect these epigenetic markers in a more quantitative way.",Useful,28.587931394577
11-B,"Though consistent with studies of men and non-pregnant women, larger studies that include objective measures of sleep duration, quality and apnea are needed to obtain more precise estimates of observed associations.",Not useful,10.8224046230316
26-C,Larger studies are needed in diverse populations at various latitudes to further characterize the relationship between vitamin D supplementation and bone mineral content.,Not useful,8.89352893829346
4-B,"Further research should investigate variables in family relationships, the home, and the extended environment that influence eating.",Useful,10.9155919551849
5-C,"More detailed studies of inflammatory markers and MMN supplementation are required in order to understand their roles in the aetiology of anaemia in this population of women, particularly in areas of high malarial endemicity.",Not useful,10.6729230880737
13-B,Future studies are warranted for replication and should evaluate if this is a causal relationship.,Useful,10.6003005504608
19-C,We suggest that an international multidisciplinary working group to be set up to oversee the design of future prevention or supplementation studies.,Useful,23.4282369613647
28-C,"A systematic review of the role of vitamin D supplementation in infectious diseases had mixed findings, concluding that more rigorously designed clinical trials are needed (panel) [25].",Not useful,29.2949197292328
21-A,"Although a recent pilot randomized trial [39] found no significant impact of a low glycemic index diet on the offspring weight of overweight/obese mothers, future, larger randomized trials and research with more frequent assessments of diet in pregnancy are needed to untangle the relationship between weight status, time in pregnancy of nutrient exposures, and offspring weight outcomes.",Not useful,26.1186051368713
9-C,"We speculate that our findings may imply adaptive responses to early life cues predicted by a life-history approach, although confirmation of these predictions requires further studies to assess reproductive fitness.",Useful,35.1525392532349
15-C,"Regarding maternal lactation diets, a Cochrane database meta-analysis [99] found some evidence of reduced atopic dermatitis, but suggested that more studies are needed.",Not useful,9.24094843864441
23-C,"Identifying modifiable, prenatal causes of childhood obesity will inform future interventions targeting pregnancy as a ""teachable moment"" for primary and secondary obesity prevention.",Useful,26.019603729248
22-A,"Future research with more frequent assessments of offspring weight and, potentially, analysis of growth velocities [51] might better inform how and when nutrient exposures in pregnancy impact growth.",Not useful,26.2192945480347
20-C,This information is critical for the design of future intervention trials targeting obesity prevention in children.,Useful,25.1637582778931
16-A,"Our implications for future research and MS prevention and according to the basis of the results of the only longitudinal study of serum 25-hydroxyvitamin D and MS onset [18], and assuming that these results are unbiased and vitamin D is truly protective against MS, over 70% of MS cases in the USA and Europe could be prevented by increasing the serum 25-hydroxyvitamin D concentration of adolescents and young adults to above 100 nmol/L [41,42].",Useful,46.8848161697388
3-C,"However, few obesity interventions show clinically or statistically significant weight loss beyond the intervention period (100), which suggests that new and more comprehensive interventions are needed.",Useful,14.5369250774384
8-A,"Future studies should compare placebo, iron-folate and UNIMMAP supplementation in order to assess the efficacy and effectiveness of pre- or inter-pregnancy supplementation on later maternal anaemia and pregnancy outcome, as well as the impact on broader micronutrient status and other functional outcomes in this vulnerable group.",Not useful,32.5040528774262
10-B,Future studies will elucidate the long term effects of maternal nutrition on offspring reproductive capability and to determine the molecular mechanisms underlying early pubertal onset.,Not useful,56.979469537735
17-B,"Although these doses are largely considered safe and potentially beneficial for other outcomes [8,19], confirmation of safety and efficacy in a large randomized trial is needed before making general recommendations.",Not useful,78.1327953338623
24-A,"We note that our study was of limited size however, and that larger studies are needed in diverse global populations.",Useful,20.6816444396973
18-B,"Whereas future observational epidemiological studies and genetic and molecular investigations will be useful to strengthen and refine the hypothesis, it might be necessary to do a large randomized trial to establish the safety and efficacy needed to promote large-scale vitamin D supplementation.",Useful,14.7294511795044
7-C,"In order to achieve Millennium Development Goals, new strategies to address nutritional problems in women of reproductive age are required.",Useful,8.69948697090149
2-A,"Transplacental transfer occurs [67,81], and until studies demonstrating safety are performed, they should be avoided in pregnancy.",Not useful,9.29447460174561
1-A,"Furthermore, the high frequency of gastrointestinal side effects experienced by people with type 2 diabetes suggests that any future role of acarbose, even if subsequent studies confirm safety, will be limited.",Not useful,14.2872984409332
25-B,Further research is needed relative to the etiology of symptomatic hypocalcemia in the first weeks of life.,Not useful,8.16367363929749
0-C,We plan to explore these issues in future experiments.,Useful,12.0091044902802
6-A,"However an analysis of the effects of supplementation on broader micronutrient status in this population would have been of interest and is a specified outcome in the main trial, which will be reported elsewhere.",Useful,14.1518473625183
