,SENTENCE,Assessment,Time
24-B,"We note that our study was of limited size however, and that larger studies are needed in diverse global populations.",Not useful,44.9681770801544
9-A,"We speculate that our findings may imply adaptive responses to early life cues predicted by a life-history approach, although confirmation of these predictions requires further studies to assess reproductive fitness.",Useful,40.3134751319885
23-A,"Identifying modifiable, prenatal causes of childhood obesity will inform future interventions targeting pregnancy as a ""teachable moment"" for primary and secondary obesity prevention.",Useful,87.0737733840942
3-A,"However, few obesity interventions show clinically or statistically significant weight loss beyond the intervention period (100), which suggests that new and more comprehensive interventions are needed.",Not useful,47.7767252922058
13-C,Future studies are warranted for replication and should evaluate if this is a causal relationship.,Not useful,77.5349004268646
2-C,"Transplacental transfer occurs [67,81], and until studies demonstrating safety are performed, they should be avoided in pregnancy.",Useful,32.7179491519928
7-A,"In order to achieve Millennium Development Goals, new strategies to address nutritional problems in women of reproductive age are required.",Not useful,13.742066860199
28-B,"A systematic review of the role of vitamin D supplementation in infectious diseases had mixed findings, concluding that more rigorously designed clinical trials are needed (panel) [25].",Useful,79.0707514286041
26-A,Larger studies are needed in diverse populations at various latitudes to further characterize the relationship between vitamin D supplementation and bone mineral content.,Useful,47.9021577835083
8-B,"Future studies should compare placebo, iron-folate and UNIMMAP supplementation in order to assess the efficacy and effectiveness of pre- or inter-pregnancy supplementation on later maternal anaemia and pregnancy outcome, as well as the impact on broader micronutrient status and other functional outcomes in this vulnerable group.",Useful,25.5429019927979
25-C,Further research is needed relative to the etiology of symptomatic hypocalcemia in the first weeks of life.,Useful,51.636801481247
11-A,"Though consistent with studies of men and non-pregnant women, larger studies that include objective measures of sleep duration, quality and apnea are needed to obtain more precise estimates of observed associations.",Not useful,19.6684348583221
10-C,Future studies will elucidate the long term effects of maternal nutrition on offspring reproductive capability and to determine the molecular mechanisms underlying early pubertal onset.,Useful,81.6538605690002
29-C,"As in our studies, these inconsistent findings point to the existence of complicated pathways for the function of vitamin D in disease processes, or simply that the correct effective dose of vitamin D supplementation needs to be better defined.",Useful,124.826649665833
9-B,"We speculate that our findings may imply adaptive responses to early life cues predicted by a life-history approach, although confirmation of these predictions requires further studies to assess reproductive fitness.",Useful,26.7687611579895
18-C,"Whereas future observational epidemiological studies and genetic and molecular investigations will be useful to strengthen and refine the hypothesis, it might be necessary to do a large randomized trial to establish the safety and efficacy needed to promote large-scale vitamin D supplementation.",Useful,65.7122709751129
22-C,"Future research with more frequent assessments of offspring weight and, potentially, analysis of growth velocities [51] might better inform how and when nutrient exposures in pregnancy impact growth.",Useful,67.3767495155335
0-B,We plan to explore these issues in future experiments.,Useful,12.8247504234314
1-C,"Furthermore, the high frequency of gastrointestinal side effects experienced by people with type 2 diabetes suggests that any future role of acarbose, even if subsequent studies confirm safety, will be limited.",Useful,80.2149243354797
25-A,Further research is needed relative to the etiology of symptomatic hypocalcemia in the first weeks of life.,Useful,40.7353317737579
6-B,"However an analysis of the effects of supplementation on broader micronutrient status in this population would have been of interest and is a specified outcome in the main trial, which will be reported elsewhere.",Not useful,74.5635795593262
16-B,"Our implications for future research and MS prevention and according to the basis of the results of the only longitudinal study of serum 25-hydroxyvitamin D and MS onset [18], and assuming that these results are unbiased and vitamin D is truly protective against MS, over 70% of MS cases in the USA and Europe could be prevented by increasing the serum 25-hydroxyvitamin D concentration of adolescents and young adults to above 100 nmol/L [41,42].",Not useful,94.1610045433044
19-A,We suggest that an international multidisciplinary working group to be set up to oversee the design of future prevention or supplementation studies.,Useful,49.4703583717346
14-A,"Many questions remain and future research will benefit from focused studies aimed at specific exposures and subpopulations, allowing for more detailed analyses by histologic subtypes.",Useful,24.0113744735718
15-B,"Regarding maternal lactation diets, a Cochrane database meta-analysis [99] found some evidence of reduced atopic dermatitis, but suggested that more studies are needed.",Useful,78.7622780799866
10-A,Future studies will elucidate the long term effects of maternal nutrition on offspring reproductive capability and to determine the molecular mechanisms underlying early pubertal onset.,Useful,43.1213119029999
3-B,"However, few obesity interventions show clinically or statistically significant weight loss beyond the intervention period (100), which suggests that new and more comprehensive interventions are needed.",Not useful,21.2172486782074
11-C,"Though consistent with studies of men and non-pregnant women, larger studies that include objective measures of sleep duration, quality and apnea are needed to obtain more precise estimates of observed associations.",Not useful,22.6528472900391
21-C,"Although a recent pilot randomized trial [39] found no significant impact of a low glycemic index diet on the offspring weight of overweight/obese mothers, future, larger randomized trials and research with more frequent assessments of diet in pregnancy are needed to untangle the relationship between weight status, time in pregnancy of nutrient exposures, and offspring weight outcomes.",Useful,122.191057443619
7-B,"In order to achieve Millennium Development Goals, new strategies to address nutritional problems in women of reproductive age are required.",Not useful,25.1948044300079
27-B,"However, it will be increasingly important to examine, in larger studies, how additional specific exposures, such as lead as has been done by previous researchers (Pilsner et al. 2009), during intrauterine development affect these epigenetic markers in a more quantitative way.",Useful,60.2935318946838
8-C,"Future studies should compare placebo, iron-folate and UNIMMAP supplementation in order to assess the efficacy and effectiveness of pre- or inter-pregnancy supplementation on later maternal anaemia and pregnancy outcome, as well as the impact on broader micronutrient status and other functional outcomes in this vulnerable group.",Useful,40.7693684101105
17-A,"Although these doses are largely considered safe and potentially beneficial for other outcomes [8,19], confirmation of safety and efficacy in a large randomized trial is needed before making general recommendations.",Not useful,16.3079488277435
13-A,Future studies are warranted for replication and should evaluate if this is a causal relationship.,Not useful,94.3786511421204
12-A,"Though consistent with studies of men and non-pregnant women, larger prospective studies that include objective measures of sleep duration, sleep quality, and sleep apnea during pregnancy are needed to confirm our findings.",Useful,46.1761207580566
5-B,"More detailed studies of inflammatory markers and MMN supplementation are required in order to understand their roles in the aetiology of anaemia in this population of women, particularly in areas of high malarial endemicity.",Not useful,41.1934475898743
23-B,"Identifying modifiable, prenatal causes of childhood obesity will inform future interventions targeting pregnancy as a ""teachable moment"" for primary and secondary obesity prevention.",Useful,18.2555882930756
28-A,"A systematic review of the role of vitamin D supplementation in infectious diseases had mixed findings, concluding that more rigorously designed clinical trials are needed (panel) [25].",Useful,47.8850626945496
20-A,This information is critical for the design of future intervention trials targeting obesity prevention in children.,Not useful,33.8537993431091
4-C,"Further research should investigate variables in family relationships, the home, and the extended environment that influence eating.",Useful,39.8789310455322
24-C,"We note that our study was of limited size however, and that larger studies are needed in diverse global populations.",Not useful,121.483250141144
2-B,"Transplacental transfer occurs [67,81], and until studies demonstrating safety are performed, they should be avoided in pregnancy.",Useful,20.3659887313843
26-B,Larger studies are needed in diverse populations at various latitudes to further characterize the relationship between vitamin D supplementation and bone mineral content.,Not useful,71.1830716133118
25-B,Further research is needed relative to the etiology of symptomatic hypocalcemia in the first weeks of life.,Useful,24.0346908569336
7-C,"In order to achieve Millennium Development Goals, new strategies to address nutritional problems in women of reproductive age are required.",Useful,93.8708202838898
1-A,"Furthermore, the high frequency of gastrointestinal side effects experienced by people with type 2 diabetes suggests that any future role of acarbose, even if subsequent studies confirm safety, will be limited.",Not useful,33.6220746040344
12-B,"Though consistent with studies of men and non-pregnant women, larger prospective studies that include objective measures of sleep duration, sleep quality, and sleep apnea during pregnancy are needed to confirm our findings.",Not useful,25.4961678981781
15-C,"Regarding maternal lactation diets, a Cochrane database meta-analysis [99] found some evidence of reduced atopic dermatitis, but suggested that more studies are needed.",Useful,29.64435505867
17-B,"Although these doses are largely considered safe and potentially beneficial for other outcomes [8,19], confirmation of safety and efficacy in a large randomized trial is needed before making general recommendations.",Useful,19.1973357200623
20-C,This information is critical for the design of future intervention trials targeting obesity prevention in children.,Useful,62.349898815155
8-A,"Future studies should compare placebo, iron-folate and UNIMMAP supplementation in order to assess the efficacy and effectiveness of pre- or inter-pregnancy supplementation on later maternal anaemia and pregnancy outcome, as well as the impact on broader micronutrient status and other functional outcomes in this vulnerable group.",Useful,39.6492960453033
26-C,Larger studies are needed in diverse populations at various latitudes to further characterize the relationship between vitamin D supplementation and bone mineral content.,Useful,52.7331852912903
11-B,"Though consistent with studies of men and non-pregnant women, larger studies that include objective measures of sleep duration, quality and apnea are needed to obtain more precise estimates of observed associations.",Useful,29.0199732780457
19-C,We suggest that an international multidisciplinary working group to be set up to oversee the design of future prevention or supplementation studies.,Useful,87.8945684432983
23-C,"Identifying modifiable, prenatal causes of childhood obesity will inform future interventions targeting pregnancy as a ""teachable moment"" for primary and secondary obesity prevention.",Useful,65.2396545410156
2-A,"Transplacental transfer occurs [67,81], and until studies demonstrating safety are performed, they should be avoided in pregnancy.",Useful,7.67107033729553
27-C,"However, it will be increasingly important to examine, in larger studies, how additional specific exposures, such as lead as has been done by previous researchers (Pilsner et al. 2009), during intrauterine development affect these epigenetic markers in a more quantitative way.",Useful,87.1820292472839
4-B,"Further research should investigate variables in family relationships, the home, and the extended environment that influence eating.",Useful,10.8445420265198
21-A,"Although a recent pilot randomized trial [39] found no significant impact of a low glycemic index diet on the offspring weight of overweight/obese mothers, future, larger randomized trials and research with more frequent assessments of diet in pregnancy are needed to untangle the relationship between weight status, time in pregnancy of nutrient exposures, and offspring weight outcomes.",Not useful,74.3811330795288
10-B,Future studies will elucidate the long term effects of maternal nutrition on offspring reproductive capability and to determine the molecular mechanisms underlying early pubertal onset.,Useful,15.6772658824921
18-B,"Whereas future observational epidemiological studies and genetic and molecular investigations will be useful to strengthen and refine the hypothesis, it might be necessary to do a large randomized trial to establish the safety and efficacy needed to promote large-scale vitamin D supplementation.",Useful,29.8088574409485
6-A,"However an analysis of the effects of supplementation on broader micronutrient status in this population would have been of interest and is a specified outcome in the main trial, which will be reported elsewhere.",Not useful,19.1072206497192
24-A,"We note that our study was of limited size however, and that larger studies are needed in diverse global populations.",Not useful,45.0436525344849
29-B,"As in our studies, these inconsistent findings point to the existence of complicated pathways for the function of vitamin D in disease processes, or simply that the correct effective dose of vitamin D supplementation needs to be better defined.",Useful,37.1002151966095
16-A,"Our implications for future research and MS prevention and according to the basis of the results of the only longitudinal study of serum 25-hydroxyvitamin D and MS onset [18], and assuming that these results are unbiased and vitamin D is truly protective against MS, over 70% of MS cases in the USA and Europe could be prevented by increasing the serum 25-hydroxyvitamin D concentration of adolescents and young adults to above 100 nmol/L [41,42].",Not useful,24.1592710018158
14-B,"Many questions remain and future research will benefit from focused studies aimed at specific exposures and subpopulations, allowing for more detailed analyses by histologic subtypes.",Useful,11.5800106525421
3-C,"However, few obesity interventions show clinically or statistically significant weight loss beyond the intervention period (100), which suggests that new and more comprehensive interventions are needed.",Useful,71.2144982814789
22-A,"Future research with more frequent assessments of offspring weight and, potentially, analysis of growth velocities [51] might better inform how and when nutrient exposures in pregnancy impact growth.",Not useful,33.1280210018158
28-C,"A systematic review of the role of vitamin D supplementation in infectious diseases had mixed findings, concluding that more rigorously designed clinical trials are needed (panel) [25].",Useful,41.8720738887787
5-C,"More detailed studies of inflammatory markers and MMN supplementation are required in order to understand their roles in the aetiology of anaemia in this population of women, particularly in areas of high malarial endemicity.",Useful,58.369758605957
9-C,"We speculate that our findings may imply adaptive responses to early life cues predicted by a life-history approach, although confirmation of these predictions requires further studies to assess reproductive fitness.",Useful,35.556295633316
13-B,Future studies are warranted for replication and should evaluate if this is a causal relationship.,Not useful,15.4422173500061
0-C,We plan to explore these issues in future experiments.,Useful,72.4156866073608
