,SENTENCE,Assessment,Time
27-B,"However, it will be increasingly important to examine, in larger studies, how additional specific exposures, such as lead as has been done by previous researchers (Pilsner et al. 2009), during intrauterine development affect these epigenetic markers in a more quantitative way.",Not useful,10.5455689430237
15-B,"Regarding maternal lactation diets, a Cochrane database meta-analysis [99] found some evidence of reduced atopic dermatitis, but suggested that more studies are needed.",Not useful,6.56378388404846
6-B,"However an analysis of the effects of supplementation on broader micronutrient status in this population would have been of interest and is a specified outcome in the main trial, which will be reported elsewhere.",Not useful,48.2954838275909
5-B,"More detailed studies of inflammatory markers and MMN supplementation are required in order to understand their roles in the aetiology of anaemia in this population of women, particularly in areas of high malarial endemicity.",Useful,3.58848404884338
12-A,"Though consistent with studies of men and non-pregnant women, larger prospective studies that include objective measures of sleep duration, sleep quality, and sleep apnea during pregnancy are needed to confirm our findings.",Useful,3.32931876182556
10-A,Future studies will elucidate the long term effects of maternal nutrition on offspring reproductive capability and to determine the molecular mechanisms underlying early pubertal onset.,Useful,48.0064990520477
11-C,"Though consistent with studies of men and non-pregnant women, larger studies that include objective measures of sleep duration, quality and apnea are needed to obtain more precise estimates of observed associations.",Useful,7.64071869850159
6-A,"However an analysis of the effects of supplementation on broader micronutrient status in this population would have been of interest and is a specified outcome in the main trial, which will be reported elsewhere.",Useful,35.1690821647644
29-B,"As in our studies, these inconsistent findings point to the existence of complicated pathways for the function of vitamin D in disease processes, or simply that the correct effective dose of vitamin D supplementation needs to be better defined.",Useful,1554.34477996826
7-C,"In order to achieve Millennium Development Goals, new strategies to address nutritional problems in women of reproductive age are required.",Useful,38.9609904289246
17-B,"Although these doses are largely considered safe and potentially beneficial for other outcomes [8,19], confirmation of safety and efficacy in a large randomized trial is needed before making general recommendations.",Useful,13.1613759994507
12-B,"Though consistent with studies of men and non-pregnant women, larger prospective studies that include objective measures of sleep duration, sleep quality, and sleep apnea during pregnancy are needed to confirm our findings.",Useful,2.77811908721924
5-C,"More detailed studies of inflammatory markers and MMN supplementation are required in order to understand their roles in the aetiology of anaemia in this population of women, particularly in areas of high malarial endemicity.",Useful,29.7018430233002
4-B,"Further research should investigate variables in family relationships, the home, and the extended environment that influence eating.",Useful,2.71314191818237
11-B,"Though consistent with studies of men and non-pregnant women, larger studies that include objective measures of sleep duration, quality and apnea are needed to obtain more precise estimates of observed associations.",Useful,2.1819179058075
22-A,"Future research with more frequent assessments of offspring weight and, potentially, analysis of growth velocities [51] might better inform how and when nutrient exposures in pregnancy impact growth.",Useful,3.48752999305725
25-B,Further research is needed relative to the etiology of symptomatic hypocalcemia in the first weeks of life.,Useful,3.87709808349609
18-B,"Whereas future observational epidemiological studies and genetic and molecular investigations will be useful to strengthen and refine the hypothesis, it might be necessary to do a large randomized trial to establish the safety and efficacy needed to promote large-scale vitamin D supplementation.",Useful,24.9833869934082
1-A,"Furthermore, the high frequency of gastrointestinal side effects experienced by people with type 2 diabetes suggests that any future role of acarbose, even if subsequent studies confirm safety, will be limited.",Not useful,8.89748620986939
21-A,"Although a recent pilot randomized trial [39] found no significant impact of a low glycemic index diet on the offspring weight of overweight/obese mothers, future, larger randomized trials and research with more frequent assessments of diet in pregnancy are needed to untangle the relationship between weight status, time in pregnancy of nutrient exposures, and offspring weight outcomes.",Useful,7.34672117233276
23-C,"Identifying modifiable, prenatal causes of childhood obesity will inform future interventions targeting pregnancy as a ""teachable moment"" for primary and secondary obesity prevention.",Useful,13.2075808048248
28-C,"A systematic review of the role of vitamin D supplementation in infectious diseases had mixed findings, concluding that more rigorously designed clinical trials are needed (panel) [25].",Useful,28.3958048820496
24-A,"We note that our study was of limited size however, and that larger studies are needed in diverse global populations.",Not useful,12.0051310062408
27-C,"However, it will be increasingly important to examine, in larger studies, how additional specific exposures, such as lead as has been done by previous researchers (Pilsner et al. 2009), during intrauterine development affect these epigenetic markers in a more quantitative way.",Not useful,15.9507021903992
2-A,"Transplacental transfer occurs [67,81], and until studies demonstrating safety are performed, they should be avoided in pregnancy.",Not useful,2.08079814910889
13-B,Future studies are warranted for replication and should evaluate if this is a causal relationship.,Useful,5.08714914321899
10-B,Future studies will elucidate the long term effects of maternal nutrition on offspring reproductive capability and to determine the molecular mechanisms underlying early pubertal onset.,Useful,6.51473879814148
0-C,We plan to explore these issues in future experiments.,Useful,3.44291305541992
15-C,"Regarding maternal lactation diets, a Cochrane database meta-analysis [99] found some evidence of reduced atopic dermatitis, but suggested that more studies are needed.",Not useful,7.63478708267212
20-C,This information is critical for the design of future intervention trials targeting obesity prevention in children.,Useful,4.68640184402466
8-A,"Future studies should compare placebo, iron-folate and UNIMMAP supplementation in order to assess the efficacy and effectiveness of pre- or inter-pregnancy supplementation on later maternal anaemia and pregnancy outcome, as well as the impact on broader micronutrient status and other functional outcomes in this vulnerable group.",Useful,3.73666214942932
3-C,"However, few obesity interventions show clinically or statistically significant weight loss beyond the intervention period (100), which suggests that new and more comprehensive interventions are needed.",Useful,47.1192059516907
9-C,"We speculate that our findings may imply adaptive responses to early life cues predicted by a life-history approach, although confirmation of these predictions requires further studies to assess reproductive fitness.",Useful,25.9819281101227
16-A,"Our implications for future research and MS prevention and according to the basis of the results of the only longitudinal study of serum 25-hydroxyvitamin D and MS onset [18], and assuming that these results are unbiased and vitamin D is truly protective against MS, over 70% of MS cases in the USA and Europe could be prevented by increasing the serum 25-hydroxyvitamin D concentration of adolescents and young adults to above 100 nmol/L [41,42].",Useful,4.60139417648315
14-B,"Many questions remain and future research will benefit from focused studies aimed at specific exposures and subpopulations, allowing for more detailed analyses by histologic subtypes.",Useful,10.3914272785187
26-C,Larger studies are needed in diverse populations at various latitudes to further characterize the relationship between vitamin D supplementation and bone mineral content.,Useful,2.49216485023499
19-C,We suggest that an international multidisciplinary working group to be set up to oversee the design of future prevention or supplementation studies.,Useful,12.1828763484955
